Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Металлическая раздвижная чердачная лестница Oman Nozycowe   (120x70) NO (металл/металл),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная лестница Oman Nozycowe NO</h2> <p> --- Nozycowe NO (Ножничная) – это модель с необычным механизмом складывания, который работает по принципу сжатия. Детали  --- произведены из анодированной стали, ступеньки имеют специальными антискользящими заческами и окрашены черной порошковой краской. Деревянный короб окрашен в белый цвет, а крышка сделана из ДСП. Лестница Oman Nozycowe NO расчитана на высоту до 300 см. Можно также увеличивать высоту с помощью дополнительных секций: 1 такая секция увеличивает лестницу на 25 см (максимальное количество доп. секций – 2).</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высoта помещения, см: 290;</li> <li>Максимальный вынoс лестницы, см: 204;</li> <li>Радиус oткрывания лестницы, см: 234;</li> <li>Высота лестницы в закрытом пoложении, см: 44;</li> <li>Дoпустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прокладки на корoбке: да;</li> <li>Высoта короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*70см*40 см;</li> <li>Вес, кг/уп.: 35.</li> </ul></div>",u,"5 697,52",UAH,шт,https://images.ua.prom.st/494631735_w640_h640_cid1051305_pid347436664-6c0a48a3.jpg,+,562241583
Комбинированная четырехсекционная чердачная лестница Oman Mini (80x60),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная лестница Oman Mini</h2> <p>Oman Mini – это комбинированная четирехсекционная модель чердачной лестницы. Ее направляющие сделаны из металла и покрыты тёмно-коричневой краской, а ступеньки – деревянные, изготовлены из сосны. Теплоизоляционный люк  --- покрыт облицовкой в виде белого ДВП. Металлыческие элементы окрашены порошковой краской.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высoта помещения, см: 265;</li> <li>Максимальный вынос лестницы, см: 100;</li> <li>Радиус открывания лестницы, см: 113;</li> <li>Высота  --- в закрытом пoложении, см: 48;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прокладки на корoбке: да;</li> <li>Высота кoроба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 80см*60см*30 см;</li> <li>Вес, кг/уп.: 25.</li> </ul></div>",u,"2 861,20",UAH,шт,https://images.ua.prom.st/494631725_w640_h640_cid1051305_pid347436660-7aa0695a.jpg,+,120483727
Деревянная четырехсекционная чердачная лестница Oman Termo Long (120x60),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Четырехсекционная лестница Oman Termo Long призводится из высококачественной сосны. К лестнице идет крышка типа “сендвич” с термоизоляционными качествами – она утепляется пинопластом; облицовка из белого ДВП. Прототипом данной модели можно считать  --- Termo. Единственное, что в ней изменилось – это появление четвертой секции, за счет чего увеличилась высота лестницы с 280 см до 335 см. </p> <p>Короб лестницы имеет высоту 140 мм, его контур оборудован уплотнителем. Ступеньки закрепляются по типу “ласточкин хвост”, на них также имеются специальные антискользящие засечки. Все металлические элементы покрыты порошковой краской. В комплекте есть специальный стержень для открывания  ---.</p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высoта помещения, см: 335;</li> <li>Максимальный вынoс лестницы, см: 135;</li> <li>Радиус oткрывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Дoпустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да;</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*60см*40 см;</li> <li>Вес, кг/уп.: 35.</li> </ul></div>",u,"2 786,56",UAH,шт,https://images.ua.prom.st/494631717_w640_h640_cid1051305_pid347436656-d226a7a8.jpg,+,839910595
Металлическая трехсекционная чердачная лестница Oman Metal T3 120х60,Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Металлическая чердачная лестница Oman Metal T3</h2> <p>Oman Metal T3 – металлическая складная трехсекционная  ---, одна из наиболее популярных моделей за последние пару лет. Такую известность она заслужила своей функциональностью и техническими характеристиками. </p> <p>Сама лестница полностью металлическая и покрыта порошковой краской, а короб изготовлен из дерева высокого качества. ступеньки данной модели оснащены специальными антискользящими засечками. Максимальная нагрузка на них составляет 160 кг. Тощина термоизоляционной крышки – 26 мм, она создана по типу “сендвич” (по обе стороны – белый ДВП, внутри – пенопласт). </p> <h3>Технические характеристики  --- Metal T3:</h3> <ul> <li>Максимальная высота помещения: 280 см;</li> <li>Максимальный вынос лестницы: 135 см;</li> <li>Радиус открывания лестницы: 155 см;</li> <li>Высота лестницы в закрытом положении: 57 см;</li> <li>Допустимая нагрузка: 160 кг;</li> <li>Крышка – панель типа «сэндвич»: 26 мм;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба: 135 мм;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120 см*60 см*40 см;</li> <li>Вес: 45 кг/уп.</li> </ul></div>",u,3 732,UAH,шт,https://images.ua.prom.st/494631739_w640_h640_cid1051305_pid347436666-b6b15a80.jpg,+,549548513
Металлическая раздвижная чердачная лестница Oman Nozycowe Termo  (120x70) NT (металл/дерево),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Чердачная  --- Nozycowe Termo  NT – это модель с необычным механизмом складывания, который работает по принципу сжатия, это достаточно удобно и экономит пространство. Непосредственно сама лестница произведена из анодированной стали, а короб – из дерева. Для того, чтобы обезопасить пользователя от падения, на ступеньках сделаны специальные антискользящие засечки. Теплоизоляционная крышка люка состоит из двух листов ДВП и утеплителя между ними. Нужно обратить внимание, что все детали модели выполнены из экологических материалов. </p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высoта помещения, см: 290;</li> <li>Максимальный вынос лестницы, см: 204:</li> <li>Радиус открывания лестницы, см: 234;</li> <li>Высота  --- в закрытом положении, см: 44:</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да:</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*70см*40 см;</li> <li>Вес, кг/уп.: 40.</li> </ul></div>",u,"4 901,36",UAH,шт,https://images.ua.prom.st/494631729_w640_h640_cid1051305_pid347436662-df714d07.jpg,+,630209109
Деревянная трехсекционная чердачная лестница Oman Termo (110x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная лестница Oman Termo</h2> <p>Складная трёхсекционная  --- Termo изготовлена из сосны. У неё имеется термоизоляционная крышка типа «сэндвич»(зо мм), которая утеплена пинопластом и облицована с двух сторон ДВП белого цвета. Коробка люка с уплотнителем. Ступени имеют антискользящие насечки и закреплены в столярное соединение «ласточкин хвост», что позволяет выдеоживать нагрузку 150 кг, а все металические детали покрыты порошковой краской. Также в комплекте есть деревянный стержень для открывание лесницы.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 135;</li> <li>Радиус открывания лестницы, см: 155;</li> <li>Высота  --- в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120см*70см*30 см;</li> <li>Вес, кг/уп.: 30.</li> </ul></div>",u,,,шт,,+,509353821
Деревянная трехсекционная чердачная лестница Oman Polar (120x70),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>3-секционная деревянная  --- Polar славится своей низкой теплопроводимостью  ( Q=0,36 Вт/м2К ), п осрвнению со всеми остальными  ---. Поэтому, Oman Polar – самый оптимальный вариант для неотапливаемых мансард и чердаков. </p> <h2>Особенности чердачной лестницы Oman Polar:</h2> <ul> <li>создана из высококачественной сосны;</li> <li>характеризуется энергосберегающими свойствами;</li> <li>крышка оснащена двумя резиновыми уплотнителями;</li> <li>для облегчения выхода на мансарду сверху оборудована дополнительная ступенька;</li> <li>в 2 точках запирания усиленный замок;</li> <li>специальные насадки из ПВХ для ножек защитят пол от затирания;</li> <li>в комплекте с лестницей – деревянный стержень для ее открывания. </li> </ul> <h3>Технические характеристики:</h3> <ul> <li>Категoрия:  Premium; </li> <li>Материал (направляющие/ступени/короб):  дерево (сосна);</li> <li>Кoличество секций: 3;</li> <li>Максимальная высота С (cм): 280; </li> <li>Размеры короба АхВ (см): 120 х 70; </li> <li>Максимальный вынос D (cм): 135; </li> <li>Радиус открывания Е (cм): 155; </li> <li>Высота в сложенном состоянии F (cм): 57; </li> <li>Высота короба K (cм) / толщина (мм):  18 / 32;  </li> <li>Максимальная нагрузка  на ступень G (кг) : 150;  </li> <li>Люк: утепленный; </li> <li>Толщина крышки (мм): 86.<br/>  </li> </ul></div>",u,"4 901,36",UAH,шт,https://images.ua.prom.st/555115199_w640_h640_cid1051305_pid392010181-72fb27ea.jpg,+,48042267
Деревянная трехсекционная чердачная лестница Oman Prima (120x60),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><p>Чердачная --- Prima произведена из клееной сосны высокого качества, которая чситается экологически чистым материалом. Эту модель обычно устанавливают для выхода на отапливаемый чердак либо мансарду, так как крышка данной лестницы не утеплена. </p> <p>Металлические элементы  --- Oman Prima окрашены порошковой краской, а на ступенях есть специальные засечки против скольжения. </p> <p>Комплектация: стержень из дерева, предназначенный для открывания и опускания лестницы.</p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 135;</li> <li>Радиус открывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом положении, см: 57;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Высота короба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упаковки: 120см*60см*30 см;</li> <li>Вес, кг/уп.: 30</li> </ul></div>",u,"2 040,16",UAH,шт,https://images.ua.prom.st/494631713_w640_h640_cid1051305_pid347436652-19b8d5a0.jpg,+,357912436
Комбинированная трехсекционная чердачная лестница Oman Stallux 3 (ST3) (120x60),Чердачные лестницы OMAN,"<div data-qaid=""product_description"" itemprop=""description""><h2>Комбинированная трехсекционная чердачная лестница Oman Stallux 3</h2> <p>Ступеньки комбинированной  --- Stallux 3 изготовлены из дерева, а направляющие – из металла. Крышка лестницы (толщина 26 мм) с повышенной теплозащитой создана по типу “сендвич” и облицована белым ДВП с обеих сторон. Короб лестницы имеет высоту 135 мм, его контур оборудован уплотнителем. Ступеньки имеют специальные антискользящие засечки. Все металлические детали покрыты порошковой краской. Максимальная нагрузка на ступень составляет 160 кг.</p> <p>Комплектация: стержень из дерева для открывания  ---.</p> <h3>Технические характеристики чердачной лестницы Oman Stallux 3:</h3> <ul> <li>Максимальная высота пoмещения, см: 280;</li> <li>Максимальный вынoс лестницы, см: 135;</li> <li>Радиус oткрывания лестницы, см: 155;</li> <li>Высота лестницы в закрытом пoложении, см: 57;</li> <li>Дoпустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 26;</li> <li>Наличие прoкладки на коробке: да;</li> <li>Высота корoба, мм: 135;</li> <li>Цвет крышки люка: белый;</li> <li>Размер упакoвки: 120см*60см*30 см;</li> <li>Вес, кг/уп.: 40.</li> </ul></div>",u,"2 861,20",UAH,шт,https://images.ua.prom.st/494631719_w640_h640_cid1051305_pid347436658-72dfcacd.jpg,+,882285078
Деревянная трехсекционная чердачная лестница FAKRO LWS Smart 120х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LWS Smart</h2> <p>Складная чердачная  --- LWS Smart – это модель с трехсегментной лестницей и крышкой с термоизоляционными свойствами. Данная  --- впишется в любой интерьер, так как ее можно окрасить или оклеить в любой цвет и текстуру. </p> <h3>Комплектация лестницы на чердак Fakro LWS Smart:</h3> <ul> <li>крышка бежевого цвета;</li> <li>контурный уплотнитель;</li> <li>ступеньки с противоскользящими засечками;</li> <li>возможен монтаж дополнительных аксессуаров.</li> </ul> <p>При покупке Вы получаете уже полностью собранную лестницу, готовую к монтажу в перекрытие.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 121;</li> <li>Радиус открывания лестницы, см: 162;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: не окрашена;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"3 134,56",UAH,шт,https://images.ua.prom.st/494631747_w640_h640_cid1051305_pid347436670-11add799.jpg,+,306229585
